antenna_id,latitude,longitude
35956_3073,7.493,-5.879
35957_3073,7.493,-5.879
35958_3073,7.493,-5.879
35959_3073,7.493,-5.879
36200_3073,7.493,-5.879
36208_3073,7.493,-5.879
36209_3073,7.493,-5.879
35961_3073,7.774,-5.842
35962_3073,7.774,-5.842
35963_3073,7.774,-5.842
35964_3073,7.774,-5.842
35965_3073,7.774,-5.842
35966_3073,7.774,-5.842
35967_3073,7.774,-5.842
35968_3073,7.774,-5.842
35969_3073,7.774,-5.842
36250_3073,7.774,-5.842
36258_3073,7.774,-5.842
36259_3073,7.774,-5.842
35971_3073,7.612,-6.123
35972_3073,7.612,-6.123
35973_3073,7.612,-6.123
35974_3073,7.612,-6.123
35975_3073,7.612,-6.123
35976_3073,7.612,-6.123
35977_3073,7.612,-6.123
35978_3073,7.612,-6.123
35979_3073,7.612,-6.123
35981_3073,7.428,-6.067
35982_3073,7.428,-6.067
35983_3073,7.428,-6.067
35984_3073,7.428,-6.067
35985_3073,7.428,-6.067
35986_3073,7.428,-6.067
35987_3073,7.428,-6.067
35988_3073,7.428,-6.067
35989_3073,7.428,-6.067
36340_3073,7.428,-6.067
36348_3073,7.428,-6.067
36349_3073,7.428,-6.067
35991_3073,7.428,-6.03
35992_3073,7.428,-6.03
35993_3073,7.428,-6.03
35994_3073,7.428,-6.03
35995_3073,7.428,-6.03
35996_3073,7.428,-6.03
35997_3073,7.428,-6.03
35998_3073,7.428,-6.03
35999_3073,7.428,-6.03
36370_3073,7.428,-6.03
36378_3073,7.428,-6.03
36379_3073,7.428,-6.03
36160_3073,7.254,-5.842
36168_3073,7.254,-5.842
36169_3073,7.254,-5.842
22171_3073,7.406,-5.917
22172_3073,7.406,-5.917
22173_3073,7.406,-5.917
22174_3073,7.406,-5.917
22175_3073,7.406,-5.917
22176_3073,7.406,-5.917
22177_3073,7.406,-5.917
22178_3073,7.406,-5.917
22179_3073,7.406,-5.917
36270_3073,7.406,-5.917
36278_3073,7.406,-5.917
36279_3073,7.406,-5.917
36280_3073,7.525,-6.048
36288_3073,7.525,-6.048
36289_3073,7.525,-6.048
36350_3073,7.471,-6.217
36358_3073,7.471,-6.217
36359_3073,7.471,-6.217
2521_3073,7.677,-5.598
2522_3073,7.677,-5.598
2523_3073,7.677,-5.598
2524_3073,7.677,-5.598
2525_3073,7.677,-5.598
2526_3073,7.677,-5.598
2527_3073,7.677,-5.598
2528_3073,7.677,-5.598
2529_3073,7.677,-5.598
40130_3073,7.677,-5.598
40138_3073,7.677,-5.598
40139_3073,7.677,-5.598
40690_3073,7.406,-5.579
40698_3073,7.406,-5.579
40699_3073,7.406,-5.579
43300_3071,9.996,-5.898
43308_3071,9.996,-5.898
43309_3071,9.996,-5.898
64351_3071,9.996,-5.898
64352_3071,9.996,-5.898
64353_3071,9.996,-5.898
64354_3071,9.996,-5.898
64355_3071,9.996,-5.898
64356_3071,9.996,-5.898
64357_3071,9.996,-5.898
64358_3071,9.996,-5.898
64359_3071,9.996,-5.898
49621_3071,9.519,-5.26
49622_3071,9.519,-5.26
49623_3071,9.519,-5.26
49624_3071,9.519,-5.26
49625_3071,9.519,-5.26
49626_3071,9.519,-5.26
49627_3071,9.519,-5.26
49628_3071,9.519,-5.26
49629_3071,9.519,-5.26
44290_3073,7.46,-5.635
44298_3073,7.46,-5.635
44299_3073,7.46,-5.635
40090_3073,7.677,-5.56
40098_3073,7.677,-5.56
40099_3073,7.677,-5.56
48731_3073,7.677,-5.56
48732_3073,7.677,-5.56
48733_3073,7.677,-5.56
48734_3073,7.677,-5.56
48735_3073,7.677,-5.56
48736_3073,7.677,-5.56
48737_3073,7.677,-5.56
48738_3073,7.677,-5.56
48739_3073,7.677,-5.56
40740_3073,7.666,-5.579
40748_3073,7.666,-5.579
40749_3073,7.666,-5.579
49771_3073,7.666,-5.579
49772_3073,7.666,-5.579
49773_3073,7.666,-5.579
49774_3073,7.666,-5.579
49775_3073,7.666,-5.579
49776_3073,7.666,-5.579
49777_3073,7.666,-5.579
49778_3073,7.666,-5.579
49779_3073,7.666,-5.579
40010_3073,7.514,-5.579
40018_3073,7.514,-5.579
40019_3073,7.514,-5.579
49901_3073,7.514,-5.579
49902_3073,7.514,-5.579
49903_3073,7.514,-5.579
49904_3073,7.514,-5.579
49905_3073,7.514,-5.579
49906_3073,7.514,-5.579
49907_3073,7.514,-5.579
49908_3073,7.514,-5.579
49909_3073,7.514,-5.579
35070_3073,7.579,-5.879
35078_3073,7.579,-5.879
35079_3073,7.579,-5.879
51281_3073,7.579,-5.879
51282_3073,7.579,-5.879
51283_3073,7.579,-5.879
51284_3073,7.579,-5.879
51285_3073,7.579,-5.879
51286_3073,7.579,-5.879
51287_3073,7.579,-5.879
51288_3073,7.579,-5.879
51289_3073,7.579,-5.879
35060_3073,7.417,-6.048
35068_3073,7.417,-6.048
35069_3073,7.417,-6.048
56871_3073,7.417,-6.048
56872_3073,7.417,-6.048
56873_3073,7.417,-6.048
56874_3073,7.417,-6.048
56875_3073,7.417,-6.048
56876_3073,7.417,-6.048
56877_3073,7.417,-6.048
56878_3073,7.417,-6.048
56879_3073,7.417,-6.048
52930_3073,7.732,-5.917
52938_3073,7.732,-5.917
52939_3073,7.732,-5.917
60761_3073,7.732,-5.917
60762_3073,7.732,-5.917
60763_3073,7.732,-5.917
60764_3073,7.732,-5.917
60765_3073,7.732,-5.917
60766_3073,7.732,-5.917
60767_3073,7.732,-5.917
60768_3073,7.732,-5.917
60769_3073,7.732,-5.917
61370_3073,7.406,-5.842
61378_3073,7.406,-5.842
61379_3073,7.406,-5.842
61380_3073,7.828,-5.748
61388_3073,7.828,-5.748
61389_3073,7.828,-5.748
61520_3073,7.179,-5.928
61528_3073,7.179,-5.928
61529_3073,7.179,-5.928
43670_3071,9.28,-6.086
43678_3071,9.28,-6.086
43679_3071,9.28,-6.086
64421_3071,9.28,-6.086
64422_3071,9.28,-6.086
64423_3071,9.28,-6.086
64424_3071,9.28,-6.086
64425_3071,9.28,-6.086
64426_3071,9.28,-6.086
64427_3071,9.28,-6.086
64428_3071,9.28,-6.086
64429_3071,9.28,-6.086
28660_1611,5.401810169,-3.948709965
28668_1611,5.401810169,-3.948709965
28669_1611,5.401810169,-3.948709965
29211_1611,5.401810169,-3.948709965
29212_1611,5.401810169,-3.948709965
29213_1611,5.401810169,-3.948709965
29214_1611,5.401810169,-3.948709965
29215_1611,5.401810169,-3.948709965
29216_1611,5.401810169,-3.948709965
29217_1611,5.401810169,-3.948709965
29218_1611,5.401810169,-3.948709965
29219_1611,5.401810169,-3.948709965
29270_1582,5.416289806,-3.98052001
29278_1582,5.416289806,-3.98052001
29279_1582,5.416289806,-3.98052001
29531_1582,5.416289806,-3.98052001
29532_1582,5.416289806,-3.98052001
29533_1582,5.416289806,-3.98052001
29534_1582,5.416289806,-3.98052001
29535_1582,5.416289806,-3.98052001
29536_1582,5.416289806,-3.98052001
29537_1582,5.416289806,-3.98052001
29538_1582,5.416289806,-3.98052001
29539_1582,5.416289806,-3.98052001
29360_1611,5.52,-4.04
29368_1611,5.52,-4.04
29369_1611,5.52,-4.04
29581_1611,5.52,-4.04
29582_1611,5.52,-4.04
29583_1611,5.52,-4.04
29584_1611,5.52,-4.04
29585_1611,5.52,-4.04
29586_1611,5.52,-4.04
29587_1611,5.52,-4.04
29588_1611,5.52,-4.04
29589_1611,5.52,-4.04
29750_1611,5.407810211,-4.086740017
29758_1611,5.407810211,-4.086740017
29759_1611,5.407810211,-4.086740017
29901_1611,5.407810211,-4.086740017
29902_1611,5.407810211,-4.086740017
29903_1611,5.407810211,-4.086740017
29904_1611,5.407810211,-4.086740017
29905_1611,5.407810211,-4.086740017
29906_1611,5.407810211,-4.086740017
29907_1611,5.407810211,-4.086740017
29908_1611,5.407810211,-4.086740017
29909_1611,5.407810211,-4.086740017
